2025-04-04 05:32:26,003 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:26,004 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:26,005 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:26,005 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:26,006 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:26,006 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:26,007 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:26,007 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:26,008 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:26,008 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2025-04-04 05:32:26,008 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2025-04-04 05:32:26,009 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2025-04-04 05:32:26,009 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2025-04-04 05:32:26,009 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:26,010 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:26,010 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:26,010 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:26,011 INFO  ExportHelperExtension.cs: 1402 - Fixing 53
2025-04-04 05:32:26,011 INFO  ExportHelperExtension.cs: 1409 - Component 53 is already fixed
2025-04-04 05:32:26,012 INFO  ExportHelperExtension.cs: 1402 - Fixing 40
2025-04-04 05:32:26,012 INFO  ExportHelperExtension.cs: 1409 - Component 40 is already fixed
2025-04-04 05:32:26,012 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:26,013 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:26,013 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:26,013 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:26,014 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:26,014 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:26,014 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:26,015 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:26,015 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2025-04-04 05:32:26,015 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2025-04-04 05:32:26,016 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:26,016 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2025-04-04 05:32:26,016 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2025-04-04 05:32:26,016 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2025-04-04 05:32:26,020 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2025-04-04 05:32:26,021 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
